flight_folder,label,csv_path,hz,anchor_idx,anchor_time,anchor_source,window_sec,window_rows
2022-07-26 22-42-02 (Accelerometer Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-26 22-42-02 (Accelerometer Failure)/2022-07-26 22-42-02 (Accelerometer Failure).csv,28.58286171611502,68014,205689358.0,failure_status_or_metadata,3.0,86
2022-07-26 22-52-16 (Gyro Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-26 22-52-16 (Gyro Failure)/2022-07-26 22-52-16 (Gyro Failure).csv,28.58286171611502,31671,181140015.0,failure_status_or_metadata,3.0,86
2022-07-26 23-02-26 (Compass Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-26 23-02-26 (Compass Failure)/2022-07-26 23-02-26 (Compass Failure).csv,28.58286171611502,39206,172093635.0,failure_status_or_metadata,3.0,86
2022-07-26 23-12-59 (Barometer Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-26 23-12-59 (Barometer Failure)/2022-07-26 23-12-59 (Barometer Failure).csv,28.58286171611502,50250,832820905.0,failure_status_or_metadata,3.0,86
2022-07-27 07-43-42 (No Failure),NoFailure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-27 07-43-42 (No Failure)/2022-07-27 07-43-42 (No Failure).csv,28.58286171611502,51547,753534299.0,no_failure_middle,3.0,86
2022-07-27 16-13-54 (RC Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-27 16-13-54 (RC Failure)/2022-07-27 16-13-54 (RC Failure).csv,44.462229336178915,57292,308733957.0,failure_status_or_metadata,3.0,134
2022-07-27 16-20-44 (GPS Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-27 16-20-44 (GPS Failure)/2022-07-27 16-20-44 (GPS Failure).csv,44.462229336178915,74438,761599405.0,failure_status_or_metadata,3.0,134
2022-07-27 16-29-23 (Accelerometer Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-27 16-29-23 (Accelerometer Failure)/2022-07-27 16-29-23 (Accelerometer Failure).csv,28.58286171611502,57726,222779186.0,failure_status_or_metadata,3.0,86
2022-07-27 16-45-02 (Gyro Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-27 16-45-02 (Gyro Failure)/2022-07-27 16-45-02 (Gyro Failure).csv,50.02000800320128,55432,262802337.0,failure_status_or_metadata,3.0,150
2022-07-27 17-05-17 (Compass Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-27 17-05-17 (Compass Failure)/2022-07-27 17-05-17 (Compass Failure).csv,28.58286171611502,73488,841390809.0,failure_status_or_metadata,3.0,86
2022-07-27 17-16-34 (Barometer Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-27 17-16-34 (Barometer Failure)/2022-07-27 17-16-34 (Barometer Failure).csv,28.58286171611502,60225,238594524.0,failure_status_or_metadata,3.0,86
2022-07-27 17-30-52 (No Failure),NoFailure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-27 17-30-52 (No Failure)/2022-07-27 17-30-52 (No Failure).csv,28.58286171611502,62744,477131571.0,no_failure_middle,3.0,86
2022-07-27 17-47-08 (RC Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-27 17-47-08 (RC Failure)/2022-07-27 17-47-08 (RC Failure).csv,28.58286171611502,65410,1459401839.0,failure_status_or_metadata,3.0,86
2022-07-27 17-54-38 (GPS Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-27 17-54-38 (GPS Failure)/2022-07-27 17-54-38 (GPS Failure).csv,54.56728145803776,72959,1929189682.0,failure_status_or_metadata,3.0,164
2022-07-27 18-23-50 (Accelerometer Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-27 18-23-50 (Accelerometer Failure)/2022-07-27 18-23-50 (Accelerometer Failure).csv,28.58286171611502,82828,293450073.0,failure_status_or_metadata,3.0,86
2022-07-27 18-35-18 (Gyro Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-27 18-35-18 (Gyro Failure)/2022-07-27 18-35-18 (Gyro Failure).csv,28.58286171611502,86422,296859542.0,failure_status_or_metadata,3.0,86
2022-07-27 18-45-54 (Compass Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-27 18-45-54 (Compass Failure)/2022-07-27 18-45-54 (Compass Failure).csv,28.58286171611502,79700,279294071.0,failure_status_or_metadata,3.0,86
2022-07-27 18-52-47 (Barometer Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-27 18-52-47 (Barometer Failure)/2022-07-27 18-52-47 (Barometer Failure).csv,50.02000800320128,88887,730142826.0,failure_status_or_metadata,3.0,150
2022-07-28 06-01-48 (No Failure),NoFailure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-28 06-01-48 (No Failure)/2022-07-28 06-01-48 (No Failure).csv,28.58286171611502,95993,926391795.0,no_failure_middle,3.0,86
2022-07-28 07-05-51 (RC Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-28 07-05-51 (RC Failure)/2022-07-28 07-05-51 (RC Failure).csv,28.58286171611502,74467,4714282699.0,failure_status_or_metadata,3.0,86
2022-07-28 16-33-39 (GPS Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-28 16-33-39 (GPS Failure)/2022-07-28 16-33-39 (GPS Failure).csv,50.02000800320128,129917,394603762.0,failure_status_or_metadata,3.0,150
2022-07-28 16-45-12 (Accelerometer Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-28 16-45-12 (Accelerometer Failure)/2022-07-28 16-45-12 (Accelerometer Failure).csv,50.02000800320128,122975,361380390.0,failure_status_or_metadata,3.0,150
2022-07-28 17-20-39 (Gyro Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-28 17-20-39 (Gyro Failure)/2022-07-28 17-20-39 (Gyro Failure).csv,50.02000800320128,125472,403101195.0,failure_status_or_metadata,3.0,150
2022-07-28 18-09-12 (Compass Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-28 18-09-12 (Compass Failure)/2022-07-28 18-09-12 (Compass Failure).csv,28.58286171611502,109750,350597205.0,failure_status_or_metadata,3.0,86
2022-07-28 18-21-13 (Barometer Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-28 18-21-13 (Barometer Failure)/2022-07-28 18-21-13 (Barometer Failure).csv,28.58286171611502,81451,258781446.0,failure_status_or_metadata,3.0,86
2022-07-28 20-27-33 (No Failure),NoFailure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-28 20-27-33 (No Failure)/2022-07-28 20-27-33 (No Failure).csv,28.58286171611502,149622,434226240.0,no_failure_middle,3.0,86
2022-07-29 16-58-48 (RC Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-29 16-58-48 (RC Failure)/2022-07-29 16-58-48 (RC Failure).csv,28.58286171611502,79546,265971902.0,failure_status_or_metadata,3.0,86
2022-07-29 17-07-04 (GPS Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-29 17-07-04 (GPS Failure)/2022-07-29 17-07-04 (GPS Failure).csv,28.58286171611502,73754,233594025.0,failure_status_or_metadata,3.0,86
2022-07-29 18-00-49 (Accelerometer Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-29 18-00-49 (Accelerometer Failure)/2022-07-29 18-00-49 (Accelerometer Failure).csv,50.02000800320128,79223,272337688.0,failure_status_or_metadata,3.0,150
2022-07-29 18-18-35 (Gyro Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-29 18-18-35 (Gyro Failure)/2022-07-29 18-18-35 (Gyro Failure).csv,50.02000800320128,83694,284293737.0,failure_status_or_metadata,3.0,150
2022-07-29 18-31-20 (Compass Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-29 18-31-20 (Compass Failure)/2022-07-29 18-31-20 (Compass Failure).csv,28.58286171611502,123212,361791892.0,failure_status_or_metadata,3.0,86
2022-07-29 18-46-18 (Barometer Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-29 18-46-18 (Barometer Failure)/2022-07-29 18-46-18 (Barometer Failure).csv,28.58286171611502,96371,285381635.0,failure_status_or_metadata,3.0,86
2022-07-29 22-58-50 (No Failure),NoFailure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-29 22-58-50 (No Failure)/2022-07-29 22-58-50 (No Failure).csv,28.58286171611502,53204,1451856525.0,no_failure_middle,3.0,86
2022-07-29 23-07-00 (RC Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-29 23-07-00 (RC Failure)/2022-07-29 23-07-00 (RC Failure).csv,28.58286171611502,53759,210654038.0,failure_status_or_metadata,3.0,86
2022-07-29 23-14-09 (GPS Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-29 23-14-09 (GPS Failure)/2022-07-29 23-14-09 (GPS Failure).csv,28.58286171611502,55587,191796584.0,failure_status_or_metadata,3.0,86
2022-07-29 23-25-58 (Accelerometer Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-29 23-25-58 (Accelerometer Failure)/2022-07-29 23-25-58 (Accelerometer Failure).csv,50.02000800320128,51820,196379750.0,failure_status_or_metadata,3.0,150
2022-07-30 10-03-08 (Gyro Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-30 10-03-08 (Gyro Failure)/2022-07-30 10-03-08 (Gyro Failure).csv,50.02000800320128,60725,245702513.0,failure_status_or_metadata,3.0,150
2022-07-30 10-17-43 (Compass Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-30 10-17-43 (Compass Failure)/2022-07-30 10-17-43 (Compass Failure).csv,28.58286171611502,46244,186994339.0,failure_status_or_metadata,3.0,86
2022-07-30 11-08-43 (Barometer Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-30 11-08-43 (Barometer Failure)/2022-07-30 11-08-43 (Barometer Failure).csv,28.58286171611502,39785,147594272.0,failure_status_or_metadata,3.0,86
2022-07-30 11-47-25 (No Failure),NoFailure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-30 11-47-25 (No Failure)/2022-07-30 11-47-25 (No Failure).csv,28.58286171611502,76517,1170289197.0,no_failure_middle,3.0,86
2022-07-30 12-01-33 (RC Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-30 12-01-33 (RC Failure)/2022-07-30 12-01-33 (RC Failure).csv,28.58286171611502,77126,430774288.0,failure_status_or_metadata,3.0,86
2022-07-30 12-09-33 (GPS Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-30 12-09-33 (GPS Failure)/2022-07-30 12-09-33 (GPS Failure).csv,28.58286171611502,71707,230998397.0,failure_status_or_metadata,3.0,86
2022-07-30 12-17-29 (Accelerometer Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-30 12-17-29 (Accelerometer Failure)/2022-07-30 12-17-29 (Accelerometer Failure).csv,36.37818763869184,68686,279181616.0,failure_status_or_metadata,3.0,110
2022-07-30 19-45-25 (Gyro Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-30 19-45-25 (Gyro Failure)/2022-07-30 19-45-25 (Gyro Failure).csv,50.02000800320128,66667,295179381.0,failure_status_or_metadata,3.0,150
2022-07-30 19-58-44 (Compass Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-30 19-58-44 (Compass Failure)/2022-07-30 19-58-44 (Compass Failure).csv,44.462229336178915,64614,232991766.0,failure_status_or_metadata,3.0,134
2022-07-31 06-13-55 (Barometer Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-31 06-13-55 (Barometer Failure)/2022-07-31 06-13-55 (Barometer Failure).csv,28.58286171611502,60739,271213971.0,failure_status_or_metadata,3.0,86
2022-07-31 06-47-20 (No Failure),NoFailure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-31 06-47-20 (No Failure)/2022-07-31 06-47-20 (No Failure).csv,44.462229336178915,72192,1287693883.0,no_failure_middle,3.0,134
2022-07-31 08-22-36 (RC Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-31 08-22-36 (RC Failure)/2022-07-31 08-22-36 (RC Failure).csv,28.58286171611502,75732,338973523.0,failure_status_or_metadata,3.0,86
2022-07-31 08-31-15 (GPS Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-31 08-31-15 (GPS Failure)/2022-07-31 08-31-15 (GPS Failure).csv,28.58286171611502,79266,268800770.0,failure_status_or_metadata,3.0,86
2022-07-31 08-39-57 (Accelerometer Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-31 08-39-57 (Accelerometer Failure)/2022-07-31 08-39-57 (Accelerometer Failure).csv,50.02000800320128,89463,338980187.0,failure_status_or_metadata,3.0,150
2022-07-31 08-53-24 (Gyro Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-31 08-53-24 (Gyro Failure)/2022-07-31 08-53-24 (Gyro Failure).csv,44.462229336178915,81833,259572796.0,failure_status_or_metadata,3.0,134
2022-07-31 09-09-00 (Compass Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-31 09-09-00 (Compass Failure)/2022-07-31 09-09-00 (Compass Failure).csv,28.58286171611502,48707,195890779.0,failure_status_or_metadata,3.0,86
2022-07-31 09-19-59 (Barometer Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-31 09-19-59 (Barometer Failure)/2022-07-31 09-19-59 (Barometer Failure).csv,28.58286171611502,53935,188411272.0,failure_status_or_metadata,3.0,86
2022-07-31 16-50-52 (No Failure),NoFailure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-31 16-50-52 (No Failure)/2022-07-31 16-50-52 (No Failure).csv,28.58286171611502,111750,511196273.0,no_failure_middle,3.0,86
2022-07-31 17-05-24 (RC Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-31 17-05-24 (RC Failure)/2022-07-31 17-05-24 (RC Failure).csv,28.58286171611502,130020,388333771.0,failure_status_or_metadata,3.0,86
2022-08-01 16-39-40 (GPS Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-08-01 16-39-40 (GPS Failure)/2022-08-01 16-39-40 (GPS Failure).csv,28.58286171611502,171947,539801493.0,failure_status_or_metadata,3.0,86
2022-08-01 16-51-52 (Accelerometer Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-08-01 16-51-52 (Accelerometer Failure)/2022-08-01 16-51-52 (Accelerometer Failure).csv,44.462229336178915,112656,386259601.0,failure_status_or_metadata,3.0,134
2022-08-01 17-08-03 (Gyro Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-08-01 17-08-03 (Gyro Failure)/2022-08-01 17-08-03 (Gyro Failure).csv,40.016006402561025,114443,361899349.0,failure_status_or_metadata,3.0,120
2022-08-01 17-52-36 (Compass Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-08-01 17-52-36 (Compass Failure)/2022-08-01 17-52-36 (Compass Failure).csv,28.58286171611502,83181,324193604.0,failure_status_or_metadata,3.0,86
2022-08-01 18-06-24 (Barometer Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-08-01 18-06-24 (Barometer Failure)/2022-08-01 18-06-24 (Barometer Failure).csv,28.58286171611502,83344,362293358.0,failure_status_or_metadata,3.0,86
